Total epochs: 0036, val_loss: 29.303, log_dir: checkpoints/SGD_with_regularization/2019-11-01_23:56:05, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0022, val_loss: 26.610, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:08:44, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.05, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0006, val_loss: 60.597, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:09:34, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0036, val_loss: 354.577, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:10:13, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.05, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0020, val_loss: 42.173, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:11:10, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.0, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0010, val_loss: 194.768, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:11:58, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.05, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0007, val_loss: 122.130, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:12:39, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.01, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0020, val_loss: 185.326, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:13:19, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0023, val_loss: 14.136, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:14:10, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.05, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0007, val_loss: 191.758, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:15:00, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.05, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0018, val_loss: 112.549, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:15:39, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.001, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0042, val_loss: 23.894, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:16:30, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0010, val_loss: 38.312, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:17:35, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.0, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0016, val_loss: 64.049, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:18:15, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.001, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0050, val_loss: 12.778, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:19:03, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 24.478, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:20:14, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.05, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: -001, val_loss: inf, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:21:29, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.05, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0013, val_loss: 8.441, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:22:06, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.0, l2_reg=0.001, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0036, val_loss: 27.807, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:22:51, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.01, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0007, val_loss: 190.969, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:23:49, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.05, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: -001, val_loss: inf, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:24:30, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.001, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0026, val_loss: 29.451, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:25:08, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.005, l2_reg=0.001, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0019, val_loss: 258.713, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:26:04, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.001, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0022, val_loss: 130.795, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:26:57, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.01, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0018, val_loss: 201.834, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:27:49, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.005, l2_reg=0.0, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0050, val_loss: 28.431, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:28:39, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.001, l2_reg=0.001, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0012, val_loss: 130.575, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:29:51, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.001, l2_reg=0.05, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: -001, val_loss: inf, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:30:38, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.05, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0016, val_loss: 17.934, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:31:17, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.001, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0007, val_loss: 81.984, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:32:03, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0028, val_loss: 16.577, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:32:43, hparams: HyperParameters(batch_size=256, num_layers=1, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.05, l1_reg=0.001, l2_reg=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 21.375, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:33:36, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.005, l2_reg=0.001, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 45.911, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:34:50, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.001, l2_reg=0.01, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0050, val_loss: 21.042, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:36:03, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=128, activation='tanh', optimizer='sgd', learning_rate=0.005, l1_reg=0.0, l2_reg=0.01, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False)
Total epochs: 0016, val_loss: 46.965, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:37:15, hparams: HyperParameters(batch_size=256, num_layers=3, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.01, l1_reg=0.05, l2_reg=0.0, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True)
Total epochs: 0050, val_loss: 18.303, log_dir: checkpoints/SGD_with_regularization/2019-11-02_00:38:02, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=64, activation='tanh', optimizer='sgd', learning_rate=0.1, l1_reg=0.0, l2_reg=0.005, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False)
